01,容器包装プラスチック
02,土曜日なのでお休み
03,日曜日なのでお休み
04,燃やせるごみ、ビン
05,燃やせないごみ、有害
06,古紙、古布
07,燃やせるごみ、カン
08,容器包装プラスチック
09,土曜日なのでお休み
10,日曜日なのでお休み
11,燃やせるごみ、ビン
12,ペットボトル
13,古紙、古布
14,燃やせるごみ、カン
15,容器包装プラスチック
16,土曜日なのでお休み
17,日曜日なのでお休み
18,燃やせるごみ、ビン
19,燃やせないごみ、有害
20,古紙、古布
21,燃やせるごみ、カン
22,容器包装プラスチック
23,土曜日なのでお休み
24,日曜日なのでお休み
25,燃やせるごみ、ビン
26,ペットボトル
27,古紙、古布
28,燃やせるごみ、カン
29,容器包装プラスチック
30,土曜日なのでお休み
